DateTime,AddedIPs,RemovedIPs
1520899208,1,0
1520956810,0,1
1520982006,1,0
1520985606,1,0
1520992806,1,0
1521003608,0,1
1521039606,1,0
1521046806,0,1
1521169211,0,1
1521216017,2,0
1521226810,1,0
1521255608,1,0
1521273613,0,1
1521298807,0,1
1521306006,1,0
1521327606,0,1
1521342006,1,0
1521345606,1,0
1521356406,1,0
1521367206,1,0
1521370806,1,0
1521374409,2,0
1521396007,0,1
1521417607,2,0
1521432008,1,0
1521446407,2,0
1521450010,0,1
1521457211,1,0
1521471614,0,1
1521500407,4,0
1521504006,0,1
1521568809,1,0
1521586811,0,1
1521590418,0,1
1521615613,0,1
1521619207,1,0
1521637207,1,0
1521748819,1,0
1521810013,0,1
1521813616,0,1
1521831610,0,1
1521860405,1,0
1521885607,0,1
1521907204,1,0
1521946810,1,0
1521968406,0,1
1521972006,0,1
1521975606,0,2
1521979215,0,2
1522004409,0,1
1522022404,0,3
1522040409,0,1
1522051210,0,2
1522062009,0,1
1522105204,0,3
1522130410,0,2
1522141212,1,0
1522159207,1,0
1522173609,0,1
1522242011,1,0
1522256408,1,1
1522263606,0,1
1522303219,1,0
1522339206,1,0
1522382407,0,1
1522393216,1,0
1522465220,0,1
1522508406,1,0
1522594806,3,0
1522598407,1,0
1522602006,0,1
1522630809,1,0
1522634409,1,0
1522674014,1,0
1522738811,1,0
1522756806,0,1
1522771206,0,1
1522882810,0,1
1522915206,0,2
1522958406,0,1
1522990807,1,0
1522998009,0,1
1523012407,1,0
1523023207,1,0
1523088006,0,2
1523109607,1,0
1523113207,0,1
1523178006,1,0
1523199605,0,3
1523203206,0,1
1523260807,1,0
1523293209,0,1
1523296808,1,0
1523318406,0,1
1523343617,0,1
1523347212,1,0
1523390407,1,0
1523401210,1,0
1523404808,1,0
1523469607,1,0
1523556006,1,0
1523588411,1,0
1523595608,0,1
1523610007,1,0
1523617206,0,1
1523646006,0,1
1523700007,1,0
1523754006,0,1
1523829609,0,1
1523851211,0,1
1523883606,1,0
1523955606,1,0
1523970007,1,0
1523977207,1,0
1523988007,1,0
1523995206,0,1
1524045607,1,0
1524056406,0,1
1524074408,0,1
1524092406,0,0
1524096011,0,0
1524114009,0,1
1524121216,0,0
1524160809,0,1
1524193211,0,1
1524232808,1,0
1524304815,0,1
1524308415,1,0
1524312018,0,1
1524412815,1,0
1524420013,1,0
1524430806,3,0
1524448812,12,0
1524477606,1,0
1524535208,0,1
1524560420,1,0
1524582009,0,1
1524592811,0,1
1524596416,0,1
1524628819,0,1
1524650410,0,1
1524675606,0,1
1524697207,0,1
1524729610,0,1
1524736816,1,0
1524880808,1,0
1524913208,0,1
1524916807,0,1
1524949211,1,0
1525006811,0,1
1525021213,0,1
1525035614,0,1
1525042812,1,0
1525053614,0,10
1525075217,0,1
1525082417,0,1
1525089620,0,1
1525104017,1,0
1525165207,1,1
1525172406,0,1
1525183206,0,1
1525197606,1,0
1525305608,1,0
1525327207,1,0
1525338008,0,1
1525356007,0,1
1525377613,1,0
1525392017,1,0
1525406416,1,0
1525464008,1,0
1525489209,1,0
1525492807,1,0
1525525210,0,1
1525658414,1,0
1525683609,1,0
1525694413,1,0
1525734011,1,0
1525748410,0,1
1525770011,0,1
1525834812,1,0
1525964406,0,1
1525982407,2,0
1525993206,0,1
1525996807,1,0
1526004006,0,1
1526043606,0,1
1526054406,1,0
1526083206,0,1
1526263206,0,1
1526306406,0,0
1526317206,0,1
1526342406,0,1
1526356807,0,1
1526367606,1,0
1526378407,0,1
1526450406,0,1
1526472006,1,0
1526486407,1,1
1526608806,0,1
1526616006,0,1
1526623207,0,1
1526630406,1,0
1526644806,0,1
1526659206,0,1
1526734806,0,1
1526745606,1,0
1526760006,0,1
1526810409,1,0
1526832006,1,0
1526864406,1,0
1526896806,1,0
1526925606,1,0
1526943607,1,0
1527076806,1,0
1527087606,0,1
1527102006,0,1
1527109206,0,1
1527123609,1,0
1527138006,1,0
1527145207,1,0
1527148806,3,0
1527159607,1,0
1527217206,1,0
1527242407,0,1
1527289206,0,0
1527292806,0,0
1527296407,1,0
1527300007,0,0
1527303606,1,0
1527307207,0,0
1527310806,0,0
1527314406,1,0
1527318006,0,0
1527321606,0,0
1527325207,0,0
1527328806,0,0
1527332409,0,0
1527336006,0,0
1527339606,0,0
1527343207,0,0
1527346806,21,0
1527350407,0,0
1527354006,0,0
1527357608,0,0
1527361206,0,0
1527364807,0,0
1527368408,0,0
1527372006,0,0
1527375609,0,0
1527379207,0,0
1527382806,0,0
1527386407,0,0
1527390007,0,0
1527393607,0,0
1527397206,0,0
1527415207,0,1
1527436806,0,1
1527454807,1,0
1527472807,1,0
1527483607,0,1
1527508807,0,1
1527534006,0,1
1527584408,0,1
1527627607,2,0
1527645607,9,0
1527681607,0,1
1527688807,1,0
1527757207,0,2
1527760807,0,2
1527764407,0,2
1527786006,0,1
1527807607,1,0
1527814808,1,0
1527847206,0,1
1527908406,0,1
1527912007,0,0
1527915607,0,0
1527919206,0,0
1527922807,0,0
1527926406,0,0
1527930007,0,0
1527933606,0,1
1527937206,0,0
1527940807,1,0
1527944407,0,0
1527948006,0,0
1527951607,0,0
1527955207,0,0
1527958806,0,0
1527962407,0,0
1527966006,0,0
1527969607,0,0
1527973206,0,0
1527976807,0,0
1527980406,0,0
1527984007,0,0
1527987607,0,0
1527991206,0,0
1527994807,0,0
1527998406,0,0
1528002007,0,0
1528045206,1,0
1528077606,0,2
1528117211,0,1
1528171206,1,0
1528182010,1,0
1528246813,0,1
1528250408,0,10
1528257608,1,0
1528293609,0,1
1528308006,0,0
1528311608,0,0
1528318807,0,0
1528322406,0,0
1528329606,0,0
