DateTime,AddedIPs,RemovedIPs
1530453881,0,20995
1530479308,1,0
1530492742,1,0
1530498529,0,1
1530500694,1,0
1530521739,1,0
1530533801,1,1
1530549385,70,0
1530566937,0,1
1530578669,0,1
1530587552,0,1
1530609006,0,1
1530610825,1,0
1530618990,0,1
1530620908,1,0
1530639309,0,70
1530690994,1,0
1530696769,0,1
1530707071,0,1
1530739517,1,0
1530778131,0,1
1530783894,10,0
1530825339,0,1
1530827324,1,0
1530869828,0,10
1530874133,1,0
1530913960,0,1
1530935110,1,0
1530948789,1,0
1530960514,0,1
1531022699,0,1
1531032520,0,1
1531078356,1,0
1531129736,1,0
1531137394,1,0
1531166506,0,1
1531186862,1,0
1531204370,1,0
1531215866,0,1
1531223625,0,1
1531256512,1,0
1531273723,0,1
1531281393,1,0
1531287696,1,0
1531291494,0,1
1531310702,1,0
1531342122,0,1
1531344045,1,0
1531367309,0,1
1531373064,0,1
1531382686,2,0
1531390365,1,0
1531396120,0,1
1531398046,1,0
1531411512,1,0
1531430928,0,1
1531444355,1,0
1531453220,1,0
1531468913,0,2
1531476540,0,1
1531484192,0,1
1531497715,0,1
1531515401,0,2
1531520589,6284,0
1531596403,1,0
1531622604,1,0
1531718243,1,0
1531777580,1,0
1531808002,1,0
1531816173,1,0
1531819142,1,0
1531834593,1,0
1531865776,0,6288
1531886895,1,0
1531902507,0,1
1531904518,71,1
1531921739,0,1
1531956071,0,1
1531957996,22,0
1531959875,969,0
1531961808,1803,0
1531963718,469,0
1531973351,0,1
1531975509,1,0
1531989186,2,0
1531991120,0,53
1532016110,1,0
1532041289,1,0
1532045404,0,447
1532047253,0,1337
1532049425,0,1497
1532061171,1,0
1532063103,0,1
1532068833,1,0
1532076521,0,2
1532086141,1,0
1532101479,0,1
1532126444,0,1
1532148346,0,1
1532154043,1,0
1532156062,0,1
1532171608,0,1
1532220326,1,0
1532239743,1,0
1532241647,0,1
1532263228,1,0
1532280757,1,0
1532305973,0,1
1532307887,1,0
1532325151,0,1
1532327128,1,0
1532338598,1,0
1532345335,1,0
1532349155,1,1
1532355168,1,0
1532364764,1,0
1532368909,0,1
1532381788,1,0
1532391651,1,0
1532395516,1,1
1532401317,1,0
1532408957,1,0
1532412776,4,1
1532416837,1,0
1532422907,1,0
1532424754,0,1
1532426688,1,0
1532432427,0,1
1532436279,0,1
1532442277,1,1
1532451881,0,1
1532457630,1,0
1532467470,0,1
1532471312,48,0
1532473323,24,0
1532477111,0,1
1532480946,0,1
1532488601,0,1
1532496278,0,1
1532498506,0,2
1532500458,0,2
1532502276,0,1
1532508053,0,1
1532511881,0,1
1532527318,1,0
1532529177,0,1
1532544996,0,1
1532558520,0,72
1532566162,1,0
1532581538,1,0
1532614368,0,1
1532633607,1,0
1532652275,0,1
1532654114,1,0
1532667900,0,1
1532673909,1,0
1532683971,1,0
1532691667,1,0
1532701325,1,0
1532705325,1,0
1532707230,1,0
1532713241,1,0
1532719010,0,1
1532731584,1,0
1532741571,0,1
1532747351,1,0
1532755019,1,0
1532760769,0,1
1532768518,0,1
1532778757,0,1
1532780669,1,0
1532788434,0,1
1532790276,1,0
1532792184,0,1
1532794155,0,1
1532799864,0,1
1532801812,1,0
1532815727,0,1
1532817676,1,0
1532826114,1,0
1532833705,0,1
1532839742,0,1
1532845467,1,0
1532866619,1,1
1532876103,0,1
1532887969,0,1
1532897831,1,0
1532903785,0,1
1532913407,0,1
1532915319,1,0
1532925383,1,0
1532931152,0,1
1532952289,0,1
1532983273,0,1
1532994783,1,0
1533002515,0,1
1533012037,0,1
1533021645,1,0
1533027413,1,0
1533031321,1,0
1533058832,1,0
1533081142,0,1
1533092955,1,0
1533104425,1,0
1533106374,1,0
1533108264,1,1
1533110224,2,0
1533114090,2,1
1533117893,0,1
1533121739,1,0
1533128186,1,0
1533133981,1,0
1533140002,1,0
1533145718,0,1
1533159156,1,0
1533161104,1,0
1533166494,6,0
1533168327,1,0
1533170200,2,0
1533172165,5,0
1533174037,4,0
1533175976,3,0
1533177876,5,1
1533179820,4,0
1533181711,4,0
1533185566,2,0
1533187490,1,0
1533189384,4,0
1533191335,0,1
1533193307,2,1
1533195178,0,2
1533197103,0,1
1533199017,0,1
1533200950,0,1
1533206680,0,1
1533214850,0,1
1533220585,0,1
1533222535,1,0
1533226600,0,1
1533228756,1,0
1533246398,0,2
1533252048,0,4
1533254193,0,2
1533256111,0,1
1533258056,0,6
1533259978,0,5
1533261887,0,2
1533263789,0,4
1533265750,0,6
1533267642,0,4
1533271490,0,2
1533273405,0,1
1533275322,0,2
1533277248,0,2
1533279170,0,2
1533284912,1,0
1533308195,0,1
1533314449,0,1
1533339639,1,0
1533370604,0,1
1533374433,1,0
1533427707,0,1
1533433706,1,0
1533461091,0,1
1533486528,1,0
1533521115,0,1
1533528778,1,0
1533544138,1,0
1533573006,0,1
1533597645,1,0
1533611092,1,0
1533614948,0,1
1533631719,0,1
1533684357,0,1
1533695959,0,1
1533724590,1,0
1533767808,1,0
1533775467,1,0
1533794690,1,0
1533804268,1,0
1533811969,0,1
1533817718,1,0
1533836076,1,0
1533853243,1,0
1533855175,0,1
1533861754,0,1
1533880997,0,1
1533886826,1,0
1533890449,0,1
1533898107,1,0
1533905940,0,1
1533917512,1,0
1533921322,0,1
1533925468,1,0
1533973727,0,1
1533977549,0,1
1533985295,0,1
1534002741,0,1
1534010491,0,1
1534013069,1,0
1534034675,1,0
1534038767,1,0
1534100672,0,1
1534110281,1,0
1534119872,0,1
1534125779,0,1
1534149171,1,0
1534197162,0,1
1534205678,1,0
1534236267,0,1
1534247792,1,0
1534292775,0,1
1534304188,2,0
1534309956,1,0
1534313807,1,0
1534323400,2,0
1534325301,1,0
1534327304,3,0
1534332988,1,0
1534334941,1,1
1534336825,1,0
1534338772,3,0
1534340670,2,0
1534344526,4,0
1534346437,3,0
1534348588,1,0
1534352502,1,0
1534358442,2,0
1534360356,2,0
1534366104,1,0
1534368628,3,0
1534370697,1,0
1534374778,2,0
1534378944,1,0
1534384522,2,0
1534390584,1,1
1534392533,1,0
1534396375,0,1
1534398263,1,0
1534400216,2,1
1534405963,1,0
1534409785,0,2
1534411727,0,1
1534413694,1,3
1534419412,1,1
1534421335,0,2
1534423227,0,1
1534425167,0,3
1534427076,0,2
1534430920,0,4
1534432842,0,3
1534434788,0,1
1534438524,0,1
1534444347,1,1
1534446170,1102,1
1534448178,1746,1
1534450027,578,0
1534452020,0,1
1534453863,0,2
1534455862,0,1
1534457794,0,1
1534461565,0,2
1534465725,1,1
1534471518,0,2
1534477501,0,1
1534479404,0,1
1534481584,0,1
1534483478,0,1
1534489329,1,0
1534491188,1,1
1534500782,0,1
1534504624,1,1
1534510392,1,0
1534514238,1,0
1534516138,1,0
1534520201,0,1
1534524265,1,0
1534530280,0,1
1534532324,0,960
1534534126,0,1390
1534536108,0,1075
1534537961,1,1
1534549625,1,0
1534551646,0,1
1534553577,0,1
1534561515,1,0
1534563411,2,0
1534567239,1,0
1534569343,1,0
1534571319,1,0
1534575395,1,0
1534577346,0,1
1534583126,1,0
1534586941,1,0
1534590782,0,1
1534596536,0,1
1534629377,0,1
1534635168,0,1
1534647697,1,2
1534649539,0,1
1534651510,0,1
1534653396,0,1
1534655332,0,2
1534659222,1,1
1534661077,0,2
1534670670,1,1
1534672589,0,1
1534676479,1,0
1534678405,0,1
1534693706,2,0
1534701681,1,0
1534711718,1,0
1534715531,2,0
1534717456,1,0
1534729040,1,0
1534734851,0,1
1534740539,1,0
1534746323,0,1
1534748254,2,0
1534754023,1,0
1534755905,0,1
1534757964,2,0
1534765573,2,0
1534773870,1,0
1534779615,0,1
1534781466,0,1
1534787302,0,1
1534794984,1,0
1534797220,1,1
1534799065,0,1
1534802912,0,3
1534808717,73,0
1534814658,0,1
1534826438,1,1
1534834331,0,2
1534836174,1,0
1534838171,1,0
1534842039,0,1
1534843937,0,2
1534851613,1,0
1534853560,0,2
1534859800,0,1
1534880929,0,1
1534882845,1,0
1534884753,1,1
1534895169,0,73
1534902981,1,0
1534904915,1,0
1534906898,2,0
1534912599,1,1
1534918358,2,0
1534920258,2,0
1534922187,0,1
1534924107,0,1
1534929895,1,0
1534933697,1,0
1534937557,0,1
1534957010,1,0
1534969229,2,1
1534971149,0,1
1534974989,1,0
1534978877,1,0
1534980764,1,0
1534990466,1,1
1534992279,0,2
1534994368,0,1
1534998218,0,1
1535002001,1,0
1535004079,1,0
1535005940,1,4
1535009697,1,0
1535013630,1,0
1535015534,1,0
1535017415,0,1
1535021284,0,1
1535023212,1,0
1535038591,1,0
1535040427,1,0
1535042423,0,1
1535046272,2,0
1535050110,1,0
1535054184,0,1
1535056264,0,1
1535059939,0,1
1535065720,2,2
1535071722,3,0
1535073625,1,0
1535075563,1,0
1535077466,0,1
1535083306,4,0
1535085179,1,0
1535087073,2,0
1535088986,0,1
1535090923,1,1
1535092831,2,1
1535094762,1,0
1535096664,0,1
1535098590,0,1
1535102442,2,1
1535104352,2,0
